model,AUC,AUPRC,F1,MCC,accuracy
CNN-2D,0.919,0.839,0.869,0.714,0.871
CNN-3D,0.896,0.809,0.82,0.605,0.822
CNN-3D-LSTM,0.889,0.81,0.823,0.614,0.828
CNN-Branched,0.877,0.774,0.819,0.606,0.822
