precision,recall,model
0.3541666666666667,1.0,CNN-2D
0.35465924895688455,1.0,CNN-2D
0.3551532033426184,1.0,CNN-2D
0.35564853556485354,1.0,CNN-2D
0.35614525139664804,1.0,CNN-2D
0.35664335664335667,1.0,CNN-2D
0.35714285714285715,1.0,CNN-2D
0.3576437587657784,1.0,CNN-2D
0.35814606741573035,1.0,CNN-2D
0.35864978902953587,1.0,CNN-2D
0.3591549295774648,1.0,CNN-2D
0.35966149506346967,1.0,CNN-2D
0.3601694915254237,1.0,CNN-2D
0.3606789250353607,1.0,CNN-2D
0.3611898016997167,1.0,CNN-2D
0.3617021276595745,1.0,CNN-2D
0.3622159090909091,1.0,CNN-2D
0.3627311522048364,1.0,CNN-2D
0.36324786324786323,1.0,CNN-2D
0.3637660485021398,1.0,CNN-2D
0.36428571428571427,1.0,CNN-2D
0.3648068669527897,1.0,CNN-2D
0.3638968481375358,0.996078431372549,CNN-2D
0.36441893830703015,0.996078431372549,CNN-2D
0.3649425287356322,0.996078431372549,CNN-2D
0.36546762589928056,0.996078431372549,CNN-2D
0.3659942363112392,0.996078431372549,CNN-2D
0.3665223665223665,0.996078431372549,CNN-2D
0.3670520231213873,0.996078431372549,CNN-2D
0.3675832127351664,0.996078431372549,CNN-2D
0.3681159420289855,0.996078431372549,CNN-2D
0.3686502177068215,0.996078431372549,CNN-2D
0.3691860465116279,0.996078431372549,CNN-2D
0.3697234352256186,0.996078431372549,CNN-2D
0.37026239067055394,0.996078431372549,CNN-2D
0.3708029197080292,0.996078431372549,CNN-2D
0.3713450292397661,0.996078431372549,CNN-2D
0.3718887262079063,0.996078431372549,CNN-2D
0.3724340175953079,0.996078431372549,CNN-2D
0.37298091042584436,0.996078431372549,CNN-2D
0.3735294117647059,0.996078431372549,CNN-2D
0.374079528718704,0.996078431372549,CNN-2D
0.3746312684365782,0.996078431372549,CNN-2D
0.37518463810930575,0.996078431372549,CNN-2D
0.3757396449704142,0.996078431372549,CNN-2D
0.3762962962962963,0.996078431372549,CNN-2D
0.37537091988130566,0.9921568627450981,CNN-2D
0.37592867756315007,0.9921568627450981,CNN-2D
0.37648809523809523,0.9921568627450981,CNN-2D
0.3770491803278688,0.9921568627450981,CNN-2D
0.3776119402985075,0.9921568627450981,CNN-2D
0.3781763826606876,0.9921568627450981,CNN-2D
0.3787425149700599,0.9921568627450981,CNN-2D
0.3793103448275862,0.9921568627450981,CNN-2D
0.37987987987987987,0.9921568627450981,CNN-2D
0.3804511278195489,0.9921568627450981,CNN-2D
0.3810240963855422,0.9921568627450981,CNN-2D
0.3815987933634992,0.9921568627450981,CNN-2D
0.3821752265861027,0.9921568627450981,CNN-2D
0.3827534039334342,0.9921568627450981,CNN-2D
0.38333333333333336,0.9921568627450981,CNN-2D
0.38391502276176026,0.9921568627450981,CNN-2D
0.3844984802431611,0.9921568627450981,CNN-2D
0.3850837138508371,0.9921568627450981,CNN-2D
0.3856707317073171,0.9921568627450981,CNN-2D
0.38625954198473283,0.9921568627450981,CNN-2D
0.38685015290519875,0.9921568627450981,CNN-2D
0.3874425727411945,0.9921568627450981,CNN-2D
0.3880368098159509,0.9921568627450981,CNN-2D
0.38863287250384027,0.9921568627450981,CNN-2D
0.3892307692307692,0.9921568627450981,CNN-2D
0.3898305084745763,0.9921568627450981,CNN-2D
0.3904320987654321,0.9921568627450981,CNN-2D
0.3910355486862442,0.9921568627450981,CNN-2D
0.39164086687306504,0.9921568627450981,CNN-2D
0.3922480620155039,0.9921568627450981,CNN-2D
0.39285714285714285,0.9921568627450981,CNN-2D
0.39346811819595645,0.9921568627450981,CNN-2D
0.3940809968847352,0.9921568627450981,CNN-2D
0.39469578783151327,0.9921568627450981,CNN-2D
0.3953125,0.9921568627450981,CNN-2D
0.39593114241001565,0.9921568627450981,CNN-2D
0.39655172413793105,0.9921568627450981,CNN-2D
0.3956043956043956,0.9882352941176471,CNN-2D
0.39622641509433965,0.9882352941176471,CNN-2D
0.3968503937007874,0.9882352941176471,CNN-2D
0.39747634069400634,0.9882352941176471,CNN-2D
0.3981042654028436,0.9882352941176471,CNN-2D
0.3987341772151899,0.9882352941176471,CNN-2D
0.3993660855784469,0.9882352941176471,CNN-2D
0.4,0.9882352941176471,CNN-2D
0.40063593004769477,0.9882352941176471,CNN-2D
0.4012738853503185,0.9882352941176471,CNN-2D
0.4019138755980861,0.9882352941176471,CNN-2D
0.402555910543131,0.9882352941176471,CNN-2D
0.4032,0.9882352941176471,CNN-2D
0.40384615384615385,0.9882352941176471,CNN-2D
0.4044943820224719,0.9882352941176471,CNN-2D
0.40514469453376206,0.9882352941176471,CNN-2D
0.4057971014492754,0.9882352941176471,CNN-2D
0.4064516129032258,0.9882352941176471,CNN-2D
0.407108239095315,0.9882352941176471,CNN-2D
0.4077669902912621,0.9882352941176471,CNN-2D
0.40842787682333875,0.9882352941176471,CNN-2D
0.4090909090909091,0.9882352941176471,CNN-2D
0.4097560975609756,0.9882352941176471,CNN-2D
0.41042345276872966,0.9882352941176471,CNN-2D
0.4110929853181077,0.9882352941176471,CNN-2D
0.4117647058823529,0.9882352941176471,CNN-2D
0.41243862520458263,0.9882352941176471,CNN-2D
0.4131147540983607,0.9882352941176471,CNN-2D
0.41379310344827586,0.9882352941176471,CNN-2D
0.4144736842105263,0.9882352941176471,CNN-2D
0.41515650741350907,0.9882352941176471,CNN-2D
0.4158415841584158,0.9882352941176471,CNN-2D
0.41652892561983473,0.9882352941176471,CNN-2D
0.41721854304635764,0.9882352941176471,CNN-2D
0.417910447761194,0.9882352941176471,CNN-2D
0.4186046511627907,0.9882352941176471,CNN-2D
0.4193011647254576,0.9882352941176471,CNN-2D
0.42,0.9882352941176471,CNN-2D
0.42070116861435725,0.9882352941176471,CNN-2D
0.4214046822742475,0.9882352941176471,CNN-2D
0.4221105527638191,0.9882352941176471,CNN-2D
0.4228187919463087,0.9882352941176471,CNN-2D
0.4235294117647059,0.9882352941176471,CNN-2D
0.42424242424242425,0.9882352941176471,CNN-2D
