pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,play_ids
FC,2021-10-03,92.5,-1.1,5.49,"Buehler, Walker",553882,621111,,swinging_strike,,,,,12,Omar Narvaez strikes out swinging.,R,L,R,LAD,MIL,S,,,0,0,2021,0.45,0.36,0.44,3.6,,541645.0,649966.0,0,4,Top,,,,,669257,,,2.9549145379729103,-134.8542316120571,0.0757128195125512,5.046634563007597,24.257170951645108,-27.880653352617493,3.32,1.51,,,,93.1,2382.0,6.1,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.35,,,,,,,,24,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,171.0,0.0,-0.101,b928d7d5-962d-4692-8fea-35cb972526f9
SI,2021-10-03,94.2,-1.36,5.3,"Buehler, Walker",649966,621111,hit_by_pitch,hit_by_pitch,,,,,11,Luis Urias hit by pitch.,R,R,R,LAD,MIL,B,,,0,0,2021,-1.19,0.75,-1.23,3.08,,541645.0,,0,4,Top,,,,,669257,,,2.984555670586305,-137.33145960760277,-1.7905268948262587,-15.794428986896438,27.859492429506325,-22.40104481223258,3.29,1.49,,,,94.7,2142.0,6.3,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.23,,,0.7,1.0,0.0,0.0,,23,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,213.0,-0.023,0.43,77b309a0-0bb0-4448-9f65-2636c01122ec
FC,2021-10-03,90.3,-0.83,5.64,"Buehler, Walker",541645,621111,double,hit_into_play,,,,,12,Avisail Garcia doubles (18) on a line drive to right fielder Mookie Betts.   Rowdy Tellez scores.,R,R,R,LAD,MIL,X,9.0,line_drive,0,0,2021,0.58,0.21,0.92,3.08,,642133.0,,0,4,Top,192.94,132.07,,,669257,,,3.139825245477034,-131.74428057040842,-1.0210373975448246,6.338060991862188,22.24500918845708,-29.683769870218526,3.55,1.63,150.0,91.4,7.0,91.3,2533.0,6.3,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.21,0.497,0.447,1.25,1.0,1.0,1.0,4.0,22,1,Cutter,0,0,0,0,1,0,1,0,Standard,Standard,117.0,-0.117,1.004,724b1f4d-eecc-4ece-a5a9-d32a4c3f311d
KC,2021-10-03,82.3,-0.73,5.67,"Buehler, Walker",598265,621111,strikeout,swinging_strike_blocked,,,,,14,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,2.0,,2,2,2021,0.87,-1.21,0.01,0.17,,621438.0,,2,2,Top,,,,,669257,,,-0.031581367852525,-119.89469104178892,-3.5799768861891783,8.377663635927332,24.21412652502055,-43.34996731891086,3.3,1.5,,,,82.6,2830.0,6.5,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,53.99,,,0.0,1.0,0.0,0.0,,11,6,Knuckle Curve,0,0,0,0,0,0,0,0,Strategic,Standard,27.0,0.034,-0.259,7f1a6013-6f9c-4c1c-a73d-3797ff4ffae8
FF,2021-10-03,95.3,-0.63,5.79,"Buehler, Walker",598265,621111,,foul,,,,,12,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,,,2,2,2021,-0.33,1.3,0.29,4.1,,621438.0,,2,2,Top,,,,,669257,,,3.1712884587981685,-138.9062549748699,-1.8000574083883674,-4.935634462304697,28.165478961792584,-15.097027159038662,3.3,1.5,152.0,75.7,70.0,96.1,2475.0,6.5,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.05,,,,,,,,11,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,188.0,0.0,0.0,5e40adc4-5c1a-4a3c-b92c-2c9d6ef09a30
FC,2021-10-03,92.3,-1.02,5.56,"Buehler, Walker",598265,621111,,foul,,,,,9,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,,,2,1,2021,0.47,0.63,0.41,1.56,,621438.0,,2,2,Top,,,,,669257,,,2.6081658968556947,-134.44515642687975,-5.841399571233435,5.2751349069219176,24.24221048126171,-23.501764902090187,3.3,1.5,3.0,81.1,-31.0,93.0,2634.0,6.3,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.21,,,,,,,,11,4,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,168.0,0.0,-0.071,13422c2d-edab-4cc6-ba14-250118f94450
FF,2021-10-03,96.0,-0.82,5.64,"Buehler, Walker",598265,621111,,foul,,,,,12,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,,,2,0,2021,-0.34,1.32,0.65,3.42,,621438.0,,2,2,Top,,,,,669257,,,4.650948471624114,-139.86749732089658,-3.339378435098836,-5.49119579773309,28.41950537554536,-14.187209853764593,3.3,1.5,141.0,67.4,71.0,96.4,2301.0,6.2,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.3,,,,,,,,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,198.0,0.0,-0.052,b06394c2-eba4-4208-a623-6ff8d22c7f51
KC,2021-10-03,78.7,-0.78,5.79,"Buehler, Walker",598265,621111,,ball,,,,,11,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,B,,,1,0,2021,1.0,-1.01,-0.81,4.16,,621438.0,,2,2,Top,,,,,669257,,,-1.913673379759696,-114.40998109346545,5.1908567496876525,9.1443916769736,21.47965474487259,-42.21761683702079,3.41,1.43,,,,78.5,2679.0,6.2,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.26,,,,,,,,11,2,Knuckle Curve,0,0,0,0,0,0,0,0,Strategic,Standard,39.0,0.0,0.039,1b6922f9-4a54-44fe-b706-fe11d2c67e51
KC,2021-10-03,79.2,-0.82,5.73,"Buehler, Walker",598265,621111,,ball,,,,,11,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,B,,,0,0,2021,0.91,-1.07,-0.94,3.95,,621438.0,,2,2,Top,,,,,669257,,,-1.954276345953205,-115.27419684132416,4.900925063594016,8.501999033755196,21.010152801545537,-42.86787770788296,3.32,1.44,,,,79.3,2576.0,6.3,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.2,,,,,,,,11,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,33.0,0.0,0.025,ad0215df-49e1-4ed5-a92b-58e0e153b9f0
SL,2021-10-03,84.5,-1.01,5.38,"Buehler, Walker",541645,621111,strikeout,swinging_strike,,,,,14,Avisail Garcia strikes out swinging.,R,R,R,LAD,MIL,S,2.0,,1,2,2021,1.3,-0.02,1.29,1.78,,,642133.0,2,1,Top,,,,,669257,,,2.77723187659266,-123.17215592581732,-2.0586977603282897,12.78938805019486,22.972078013958807,-32.22204645914043,3.55,1.63,,,,84.9,2904.0,6.3,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.2,,,0.0,1.0,0.0,0.0,,4,4,Slider,0,0,0,0,0,0,0,0,Standard,Strategic,61.0,0.022,-0.155,9b3c4b43-3d14-4656-a2e5-b49e18f20a71
FC,2021-10-03,90.8,-0.63,5.71,"Buehler, Walker",541645,621111,,swinging_strike,,,,,14,Avisail Garcia strikes out swinging.,R,R,R,LAD,MIL,S,,,1,1,2021,0.51,0.32,0.97,1.34,,,642133.0,2,1,Top,,,,,669257,,,2.9350306374709216,-132.3220011750724,-5.880098045529888,5.595912985415036,21.769043322852557,-27.537526530726797,3.55,1.63,,,,92.1,2614.0,6.5,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,53.99,,,,,,,,4,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,117.0,0.0,-0.059,eeaf867a-e3b0-4e09-94a3-8a99e0655bf2
SI,2021-10-03,96.2,-1.21,5.29,"Buehler, Walker",541645,621111,,ball,,,,,13,Avisail Garcia strikes out swinging.,R,R,R,LAD,MIL,B,,,0,1,2021,-1.09,0.87,-0.14,1.34,,,642133.0,2,1,Top,,,,,669257,,,5.258783590274512,-140.11329978901378,-6.969047417721674,-15.494196825995514,26.803403605653177,-19.357959486630534,3.52,1.7,,,,96.6,2354.0,6.1,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.38,,,,,,,,4,2,Sinker,0,0,0,0,0,0,0,0,Infield shift,Strategic,215.0,0.0,0.029,cf4dc517-db46-406f-b5d8-344534672359
FF,2021-10-03,96.1,-0.75,5.79,"Buehler, Walker",541645,621111,,swinging_strike,,,,,2,Avisail Garcia strikes out swinging.,R,R,R,LAD,MIL,S,,,0,0,2021,-0.17,1.44,0.0,3.22,,,642133.0,2,1,Top,,,,,669257,,,2.393301763061545,-140.03361658364125,-4.54710198748406,-2.752825291883969,28.501375535808865,-12.286678848860534,3.55,1.63,,,,96.8,2400.0,6.4,632242,621111,669257,571970,607208,457759,608369,572041,621035,605141,54.08,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,193.0,0.0,-0.042,f45770c5-dec0-4a91-9deb-d6e76537d95d
KC,2021-09-28,78.8,-0.53,5.83,"Buehler, Walker",571976,621111,field_out,hit_into_play,,,,,9,Wil Myers flies out to second baseman Trea Turner.,R,R,R,LAD,SD,X,4.0,fly_ball,0,1,2021,0.82,-1.22,0.63,1.59,,543333.0,,2,7,Top,154.76,126.22,,,669257,,,0.98981933231681,-114.71798376504216,-0.0026730351133885,6.933290150167359,24.663010224747,-43.07981408289881,3.49,1.6,197.0,63.2,32.0,78.5,2748.0,6.4,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.06,0.717,0.645,0.0,1.0,0.0,0.0,4.0,55,2,Knuckle Curve,2,0,0,2,0,2,0,2,Standard,Standard,28.0,0.043,-0.273,4f55fbba-7f12-46d4-96da-948adce7d471
KC,2021-09-28,79.9,-0.75,5.87,"Buehler, Walker",571976,621111,,foul,,,,,8,Wil Myers flies out to second baseman Trea Turner.,R,R,R,LAD,SD,S,,,0,0,2021,0.92,-1.26,0.15,1.54,,543333.0,,2,7,Top,,,,,669257,,,0.240346263098504,-116.32711267519196,-0.3444028883893661,8.243818879110934,24.29435921272417,-43.69042059055069,3.49,1.6,1.0,77.2,-65.0,79.9,2661.0,6.5,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.0,,,,,,,,55,1,Knuckle Curve,2,0,0,2,0,2,0,2,Standard,Standard,29.0,0.0,-0.045,b952f18b-c6bd-4822-884e-325220687adb
FF,2021-09-28,95.0,-0.71,5.75,"Buehler, Walker",665487,621111,grounded_into_double_play,hit_into_play,,,,,11,"Fernando Tatis grounds into a double play, third baseman Justin Turner to second baseman Trea Turner to first baseman Max Muncy.   Adam Frazier out at 2nd.    Fernando Tatis out at 1st.",R,R,R,LAD,SD,X,5.0,ground_ball,2,2,2021,-0.4,1.52,-0.89,2.78,,605170.0,624428.0,1,6,Top,105.29,162.63,,,669257,,,0.4328501086290892,-138.41735223643434,-5.579509129295919,-5.215789019151822,28.80651619376218,-11.585222766221008,3.49,1.6,14.0,72.4,-10.0,95.6,2397.0,6.4,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.1,0.06,0.054,0.0,1.0,0.0,0.0,2.0,46,8,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,200.0,0.122,-0.56,ad4052af-1ef8-4c42-bca9-1da25a61dae6
FF,2021-09-28,95.9,-0.6,5.85,"Buehler, Walker",665487,621111,,foul,,,,,2,"Fernando Tatis grounds into a double play, third baseman Justin Turner to second baseman Trea Turner to first baseman Max Muncy.   Adam Frazier out at 2nd.    Fernando Tatis out at 1st.",R,R,R,LAD,SD,S,,,2,2,2021,-0.13,1.52,-0.08,3.41,,605170.0,624428.0,1,6,Top,,,,,669257,,,1.661244218538067,-139.676248000725,-4.3182110973001695,-2.089327289316809,30.668309835891545,-11.456024884147102,3.49,1.6,58.0,87.1,85.0,96.4,2312.0,6.5,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.03,,,,,,,,46,7,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,191.0,0.0,0.0,66e83dd4-8bd3-4b9a-bba2-755216f06f85
SL,2021-09-28,85.4,-0.95,5.46,"Buehler, Walker",665487,621111,,foul,,,,,14,"Fernando Tatis grounds into a double play, third baseman Justin Turner to second baseman Trea Turner to first baseman Max Muncy.   Adam Frazier out at 2nd.    Fernando Tatis out at 1st.",R,R,R,LAD,SD,S,,,2,2,2021,1.39,0.26,1.44,1.85,,605170.0,624428.0,1,6,Top,,,,,669257,,,2.854725604807938,-124.36696750417016,-2.699216803336585,13.746451597003832,26.149150176790084,-29.142190345284337,3.49,1.6,7.0,53.5,-15.0,85.4,2693.0,6.4,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.14,,,,,,,,46,6,Slider,2,0,0,2,0,2,0,2,Standard,Standard,63.0,0.0,0.0,91077ea8-ee15-40de-b7f5-bce6774d290d
SL,2021-09-28,83.3,-0.72,5.62,"Buehler, Walker",665487,621111,,ball,,,,,14,"Fernando Tatis grounds into a double play, third baseman Justin Turner to second baseman Trea Turner to first baseman Max Muncy.   Adam Frazier out at 2nd.    Fernando Tatis out at 1st.",R,R,R,LAD,SD,B,,,1,2,2021,1.39,-0.01,1.27,1.68,,605170.0,624428.0,1,6,Top,,,,,669257,,,1.8526844858473548,-121.26146020481498,-2.5768050054916136,13.298138236239213,24.566053180821505,-31.96659958421282,3.65,1.67,,,,83.7,2606.0,6.6,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,53.91,,,,,,,,46,5,Slider,2,0,0,2,0,2,0,2,Standard,Standard,58.0,0.0,0.087,a4415da9-725b-4615-813d-8e39463a4132
FF,2021-09-28,95.5,-0.49,5.88,"Buehler, Walker",665487,621111,,foul,,,,,1,"Fernando Tatis grounds into a double play, third baseman Justin Turner to second baseman Trea Turner to first baseman Max Muncy.   Adam Frazier out at 2nd.    Fernando Tatis out at 1st.",R,R,R,LAD,SD,S,,,1,2,2021,-0.19,1.58,-0.52,3.15,,605170.0,624428.0,1,6,Top,,,,,669257,,,0.3493620615330969,-139.09311654570428,-5.151863169148491,-2.5550856120989254,31.370895902078715,-10.667777443418482,3.49,1.6,230.0,70.2,43.0,95.8,2430.0,6.4,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.07,,,,,,,,46,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,196.0,0.0,0.0,64185378-265d-4392-9a9c-f42a0606c5cb
SL,2021-09-28,84.9,-1.01,5.54,"Buehler, Walker",665487,621111,,swinging_strike,,,,,2,"Fernando Tatis grounds into a double play, third baseman Justin Turner to second baseman Trea Turner to first baseman Max Muncy.   Adam Frazier out at 2nd.    Fernando Tatis out at 1st.",R,R,R,LAD,SD,S,,,1,1,2021,1.27,0.22,0.01,3.18,,605170.0,624428.0,1,6,Top,,,,,669257,,,-0.1483798399049433,-123.72840887561864,0.3658682516162799,13.00492473877066,25.366938209206644,-30.17182629149301,3.49,1.6,,,,85.2,2593.0,6.5,632318,621111,669257,571970,607208,457759,608369,572041,666158,605141,54.05,,,,,,,,46,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,75.0,0.0,-0.123,e2784195-a05c-44b4-9b0a-9c54fc17c755
